WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
HN-6,TI,HN-6,Single_String,HNA,31-Oct-24,TPYX-40,0,1596541,81.81,0,0,1.59,81.81,0,744
HN-5,AB,HN-5,Single_String,HNA,31-Oct-24,TPYXP-7,0,687072,27.18,0,0,0.68,27.18,0,744
MR-3,GT,MR-3,Single_String,URA,31-Oct-24,SPYX-34,0,0,0,0,0,0,0,0,0
R-2A,ub,R-2A,Single_String,URA,31-Oct-24,SPYX-34,0,0,0,0,0,0,0,0,0
RI-9,DB,RI-9,Single_String,ARI,31-Oct-24,SDYX-36,0,0,0,0,0,0,0,0,0
I-8Z,_Z,#NAME?,Single_String,ARI,31-Oct-24,SDYXPAY,0,0,0,0,0,0,0,0,0
I-23,GT,I-23,Tubing,ARI,31-Oct-24,SDYX-22,0,0,0,0,0,0,0,0,0
I-23,GT,I-23,Single_String,ARI,31-Oct-24,SDYX&21,0,3258248,28.01,1.45,0,3.25,28.01,1.15,744
I-22,GT,I-22,Tubing,ARI,31-Oct-24,SDYX-22,0,0,0,0,0,0,0,0,0
I-16,AP,I-16,Single_String,ARI,31-Oct-24,SDYXPAY,0,2843196,12.77,0.37,0,2.84,12.77,0.29,744
I-15,AN,I-15,Tubing,ARI,31-Oct-24,SDYX-23,0,0,0,0,0,0,0,0,0
I-14,AI,I-14,Single_String,ARI,31-Oct-24,OBYXIII,0,1115002,35.74,25.78,0,1.11,35.74,20.42,744
I-13,AJ,I-13,Single_String,ARI,31-Oct-24,SDYXPAY,0,4691275,23.29,2.95,0,4.69,23.29,2.34,744
I-12,AG,I-12,Single_String,ARI,31-Oct-24,OBYXJ-I,0,0,0,0,0,0,0,0,0
I-10,GT,I-10,Single_String,ARI,31-Oct-24,SDYX-20,0,610802,47.16,0.9,0,0.61,47.16,0.71,744
RI-4,AC,RI-4,Single_String,ARI,31-Oct-24,SDYXPAY,0,652495,21.74,0.31,0,0.65,21.74,0.24,744
N-40,AO,N-40,Single_String,GAR,31-Oct-24,MPYX-34,0,0,0,0,0,0,0,0,0
N-35,AL,N-35,Single_String,GAR,31-Oct-24,MPYX-33,0,0,0,0,0,0,0,0,0
N-70,DN,N-70,Single_String,GAR,31-Oct-24,MPYX-50,0,318029,31.45,0.91,0,0.31,31.45,0.72,744
